"b","unit","day","dentadult","dentinf"
11,"u1",27,11,0
11,"u1",32,3,0
11,"u1",37,5,0
11,"u1",42,8,0
11,"u1",47,12,1
11,"u1",52,11,3
11,"u2",7,1,0
11,"u2",12,23,0
11,"u2",17,23,0
11,"u2",22,27,0
11,"u2",27,20,0
11,"u2",32,5,0
11,"u2",37,3,1
11,"u2",42,2,0
11,"u2",47,8,0
11,"u2",52,10,0
11,"u3",7,4,0
11,"u3",12,8,0
11,"u3",17,20,0
11,"u3",22,7,0
11,"u3",27,4,0
11,"u3",32,3,0
11,"u3",37,4,0
11,"u3",42,6,0
11,"u3",47,4,1
11,"u3",52,1,0
11,"u4",7,3,0
11,"u4",12,10,0
11,"u4",17,13,0
11,"u4",22,25,0
11,"u4",27,19,4
11,"u4",32,17,0
11,"u4",37,6,1
11,"u4",42,4,1
11,"u4",47,1,2
11,"u4",52,1,0
11,"u5",7,1,0
11,"u5",12,6,0
11,"u5",17,12,1
11,"u5",22,36,1
11,"u5",27,51,0
11,"u5",32,32,1
11,"u5",37,67,2
11,"u5",42,78,8
11,"u5",47,10,3
11,"u5",52,18,2
11,"u6",7,6,0
11,"u6",12,6,1
11,"u6",17,13,0
11,"u6",22,18,2
11,"u6",27,12,1
11,"u6",32,15,2
11,"u6",37,5,1
11,"u6",42,2,0
11,"u6",47,4,1
11,"u6",52,3,1
11,"u7",7,1,0
11,"u7",12,10,0
11,"u7",17,31,1
11,"u7",22,46,2
11,"u7",27,23,23
11,"u7",32,8,2
11,"u7",37,23,0
11,"u7",42,33,1
11,"u7",47,4,0
11,"u7",52,3,3
11,"u8",7,1,0
11,"u8",12,1,0
11,"u8",17,6,1
11,"u8",22,16,0
11,"u8",27,14,5
11,"u8",32,3,0
11,"u8",37,25,1
11,"u8",42,23,5
11,"u8",47,10,13
11,"u8",52,52,9
11,"u9",7,2,0
11,"u9",12,17,0
11,"u9",17,11,0
11,"u9",22,12,0
11,"u9",27,38,14
11,"u9",32,42,5
11,"u9",37,8,4
11,"u9",42,4,0
11,"u9",47,1,1
11,"u9",52,0,0
12,"u1",7,1,0
12,"u1",12,1,0
12,"u1",17,4,1
12,"u1",22,38,2
12,"u1",27,39,2
12,"u1",32,40,1
12,"u1",37,23,0
12,"u1",42,9,5
12,"u1",47,5,2
12,"u1",52,2,0
12,"u2",7,2,0
12,"u2",12,10,1
12,"u2",17,15,0
12,"u2",22,36,0
12,"u2",27,43,6
12,"u2",32,57,5
12,"u2",37,26,4
12,"u2",42,13,0
12,"u2",47,7,2
12,"u2",52,1,0
12,"u3",7,4,0
12,"u3",12,3,0
12,"u3",17,4,0
12,"u3",22,12,0
12,"u3",27,40,2
12,"u3",32,26,2
12,"u3",37,12,3
12,"u3",42,8,1
12,"u3",47,2,0
12,"u3",52,5,0
12,"u4",7,1,0
12,"u4",12,2,0
12,"u4",17,15,2
12,"u4",22,23,0
12,"u4",27,28,2
12,"u4",32,17,6
12,"u4",37,7,0
12,"u4",42,2,0
12,"u4",47,1,1
12,"u4",52,1,1
12,"u5",7,5,0
12,"u5",12,8,0
12,"u5",17,10,0
12,"u5",22,11,2
12,"u5",27,20,3
12,"u5",32,22,12
12,"u5",37,11,0
12,"u5",42,9,24
12,"u5",47,5,4
12,"u5",52,5,5
12,"u6",7,3,0
12,"u6",12,1,0
12,"u6",17,10,1
12,"u6",22,11,0
12,"u6",27,15,0
12,"u6",32,14,1
12,"u6",37,27,7
12,"u6",42,17,0
12,"u6",47,33,3
12,"u6",52,15,9
12,"u7",7,4,0
12,"u7",12,2,0
12,"u7",17,21,0
12,"u7",22,31,1
12,"u7",27,40,0
12,"u7",32,38,4
12,"u7",37,26,3
12,"u7",42,4,1
12,"u7",47,1,3
12,"u7",52,1,1
12,"u8",7,4,1
12,"u8",12,10,0
12,"u8",17,11,0
12,"u8",22,4,3
12,"u8",27,17,1
12,"u8",32,15,1
12,"u8",37,19,6
12,"u8",42,11,4
12,"u8",47,14,1
12,"u8",52,17,14
12,"u9",7,2,0
12,"u9",12,13,0
12,"u9",17,21,3
12,"u9",22,21,4
12,"u9",27,7,0
12,"u9",32,5,2
12,"u9",37,4,1
12,"u9",42,2,0
12,"u9",47,5,0
12,"u9",52,7,0
13,"u1",7,7,1
13,"u1",12,19,0
13,"u1",17,61,0
13,"u1",22,105,12
13,"u1",27,42,9
13,"u1",32,18,9
13,"u1",37,2,12
13,"u1",42,2,9
13,"u1",47,0,0
13,"u1",52,1,0
13,"u2",7,7,0
13,"u2",12,9,0
13,"u2",17,18,3
13,"u2",22,21,5
13,"u2",27,13,3
13,"u2",32,3,0
13,"u2",37,0,4
13,"u2",42,0,0
13,"u2",47,0,0
13,"u2",52,0,0
13,"u3",7,4,0
13,"u3",12,8,0
13,"u3",17,30,0
13,"u3",22,55,0
13,"u3",27,56,0
13,"u3",32,18,42
13,"u3",37,5,15
13,"u3",42,5,1
13,"u3",47,3,1
13,"u3",52,1,0
13,"u4",7,2,0
13,"u4",12,10,0
13,"u4",17,4,0
13,"u4",22,16,1
13,"u4",27,14,0
13,"u4",32,25,1
13,"u4",37,26,3
13,"u4",42,17,2
13,"u4",47,2,0
13,"u4",52,5,9
13,"u5",7,1,0
13,"u5",12,30,0
13,"u5",17,21,0
13,"u5",22,39,1
13,"u5",27,14,14
13,"u5",32,2,0
13,"u5",37,6,2
13,"u5",42,1,0
13,"u5",47,1,0
13,"u5",52,1,0
13,"u6",7,2,0
13,"u6",12,7,0
13,"u6",17,7,0
13,"u6",22,23,0
13,"u6",27,54,1
13,"u6",32,30,7
13,"u6",37,36,2
13,"u6",42,23,4
13,"u6",47,26,2
13,"u6",52,18,1
13,"u7",7,10,0
13,"u7",12,13,0
13,"u7",17,21,0
13,"u7",22,34,3
13,"u7",27,13,0
13,"u7",32,7,4
13,"u7",37,0,0
13,"u7",42,2,1
13,"u7",47,0,0
13,"u7",52,1,0
13,"u8",7,8,0
13,"u8",12,16,0
13,"u8",17,9,1
