"b","unit","day","dentadult","dentinf"
9,"u8",42,20,2
9,"u8",47,8,13
9,"u8",52,7,0
10,"u1",7,11,0
10,"u1",12,7,0
10,"u1",17,13,0
10,"u1",22,32,0
10,"u1",27,78,0
10,"u1",32,187,0
10,"u1",37,175,0
10,"u1",42,116,37
10,"u1",47,39,5
10,"u1",52,13,17
10,"u2",7,5,0
10,"u2",12,37,0
10,"u2",17,79,1
10,"u2",22,143,0
10,"u2",27,420,3
10,"u2",32,220,29
10,"u2",37,103,64
10,"u2",42,64,10
10,"u2",47,45,0
10,"u2",52,69,3
10,"u3",7,9,0
10,"u3",12,15,0
10,"u3",17,43,0
10,"u3",22,51,0
10,"u3",27,215,0
10,"u3",32,559,12
10,"u3",37,208,1
10,"u3",42,68,49
10,"u3",47,16,3
10,"u3",52,26,3
10,"u4",7,5,0
10,"u4",12,11,0
10,"u4",17,76,3
10,"u4",22,81,0
10,"u4",27,335,11
10,"u4",32,102,100
10,"u4",37,27,54
10,"u4",42,16,1
10,"u4",47,10,0
10,"u4",52,8,2
10,"u5",7,1,0
10,"u5",12,3,0
10,"u5",17,30,0
10,"u5",22,54,0
10,"u5",27,50,0
10,"u5",32,245,6
10,"u5",37,299,6
10,"u5",42,64,8
10,"u5",47,56,7
10,"u5",52,55,15
10,"u6",7,4,0
10,"u6",12,13,0
10,"u6",17,49,0
10,"u6",22,62,0
10,"u6",27,70,11
10,"u6",32,90,0
10,"u6",37,191,0
10,"u6",42,69,2
10,"u6",47,88,12
10,"u6",52,88,49
10,"u7",7,17,0
10,"u7",12,38,0
10,"u7",17,21,0
10,"u7",22,113,7
10,"u7",27,95,1
10,"u7",32,34,67
10,"u7",37,19,32
10,"u7",42,11,1
10,"u7",47,5,1
10,"u7",52,7,1
10,"u8",7,4,0
10,"u8",12,11,0
10,"u8",17,17,0
10,"u8",22,47,0
10,"u8",27,136,4
10,"u8",32,101,1
10,"u8",37,93,76
10,"u8",42,22,4
10,"u8",47,29,3
10,"u8",52,16,5
11,"u1",7,5,0
11,"u1",12,10,0
11,"u1",17,34,0
11,"u1",22,73,1
11,"u1",27,80,7
11,"u1",32,144,3
11,"u1",37,80,2
11,"u1",42,87,29
11,"u1",47,45,21
11,"u1",52,5,3
11,"u2",7,5,0
11,"u2",12,20,0
11,"u2",17,16,0
11,"u2",22,52,0
11,"u2",27,96,1
11,"u2",32,229,5
11,"u2",37,82,41
11,"u2",42,84,4
11,"u2",47,39,4
11,"u2",52,39,2
11,"u3",7,6,0
11,"u3",12,6,3
11,"u3",17,49,0
11,"u3",22,73,0
11,"u3",27,88,0
11,"u3",32,206,7
11,"u3",37,305,60
11,"u3",42,236,181
11,"u3",47,36,17
11,"u3",52,38,1
11,"u4",7,4,0
11,"u4",12,10,0
11,"u4",17,13,0
11,"u4",22,18,0
11,"u4",27,79,1
11,"u4",32,105,1
11,"u4",37,155,19
11,"u4",42,145,2
11,"u4",47,78,16
11,"u4",52,84,5
11,"u5",7,5,0
11,"u5",12,13,0
11,"u5",17,46,6
11,"u5",22,104,4
11,"u5",27,47,10
11,"u5",32,87,1
11,"u5",37,84,9
11,"u5",42,83,147
11,"u5",47,40,54
11,"u5",52,9,20
11,"u6",7,12,0
11,"u6",12,37,0
11,"u6",17,71,0
11,"u6",22,133,1
11,"u6",27,167,22
11,"u6",32,136,83
11,"u6",37,26,34
11,"u6",42,12,1
11,"u6",47,15,1
11,"u6",52,30,0
11,"u7",7,13,0
11,"u7",12,31,0
11,"u7",17,35,0
11,"u7",22,116,5
11,"u7",27,156,12
11,"u7",32,77,39
11,"u7",37,30,3
11,"u7",42,82,50
11,"u7",47,75,11
11,"u7",52,35,10
11,"u8",7,4,0
11,"u8",12,2,0
11,"u8",17,14,0
11,"u8",22,66,0
11,"u8",27,125,0
11,"u8",32,96,0
11,"u8",37,122,1
11,"u8",42,125,5
11,"u8",47,138,9
11,"u8",52,70,0
12,"u1",7,16,0
12,"u1",12,17,0
12,"u1",17,42,0
12,"u1",22,140,0
12,"u1",27,273,2
12,"u1",32,329,0
12,"u1",37,131,2
12,"u1",42,149,78
12,"u1",47,69,79
12,"u1",52,11,3
12,"u2",7,4,0
12,"u2",12,16,0
12,"u2",17,93,0
12,"u2",22,86,0
12,"u2",27,168,5
12,"u2",32,69,245
12,"u2",37,26,6
12,"u2",42,56,5
12,"u2",47,10,1
12,"u2",52,13,1
12,"u3",7,6,0
12,"u3",12,25,0
12,"u3",17,72,0
12,"u3",22,152,1
12,"u3",27,156,2
12,"u3",32,255,40
12,"u3",37,46,20
12,"u3",42,78,10
