b,unit,day,dentadult,dentinf,lumadult,luminf
7,u7,12.0,2.0,0.0,6.0,0.0
7,u7,17.0,24.0,0.0,6.0,0.0
7,u7,22.0,100.0,27.0,30.0,13.0
7,u7,27.0,54.0,43.0,16.0,15.0
7,u7,32.0,23.0,11.0,5.0,5.0
7,u7,37.0,15.0,1.0,0.0,0.0
7,u7,42.0,11.0,1.0,0.0,0.0
7,u7,47.0,13.0,0.0,0.0,1.0
7,u7,52.0,1.0,0.0,1.0,0.0
7,u8,7.0,13.0,0.0,1.0,0.0
7,u8,12.0,23.0,1.0,4.0,0.0
7,u8,17.0,49.0,3.0,7.0,0.0
7,u8,22.0,23.0,4.0,7.0,4.0
