"b","unit","day","dentadult"
12,"u2",52,91
12,"u3",7,0
12,"u3",12,12
12,"u3",17,66
12,"u3",22,75
12,"u3",27,243
12,"u3",32,322
12,"u3",37,111
12,"u3",42,62
12,"u3",47,71
12,"u3",52,36
12,"u4",7,5
12,"u4",12,10
12,"u4",17,80
12,"u4",22,498
12,"u4",27,297
12,"u4",32,309
12,"u4",37,109
12,"u4",42,229
12,"u4",47,18
12,"u4",52,22
12,"u5",7,3
12,"u5",12,6
12,"u5",17,14
12,"u5",22,88
12,"u5",27,187
12,"u5",32,222
12,"u5",37,224
12,"u5",42,265
12,"u5",47,346
12,"u5",52,250
12,"u6",7,7
12,"u6",12,21
12,"u6",17,44
12,"u6",22,75
12,"u6",27,119
12,"u6",32,94
12,"u6",37,74
12,"u6",42,73
12,"u6",47,64
12,"u6",52,35
12,"u7",7,2
12,"u7",12,5
12,"u7",17,34
12,"u7",22,75
12,"u7",27,56
12,"u7",32,87
12,"u7",37,120
12,"u7",42,182
12,"u7",47,28
12,"u7",52,25
12,"u8",7,9
12,"u8",12,10
12,"u8",17,49
12,"u8",22,198
12,"u8",27,219
12,"u8",32,483
12,"u8",37,234
12,"u8",42,31
12,"u8",47,69
12,"u8",52,95
12,"u9",7,7
12,"u9",12,37
12,"u9",17,20
12,"u9",22,59
12,"u9",27,301
12,"u9",32,440
12,"u9",37,345
12,"u9",42,615
12,"u9",47,650
12,"u9",52,345
12,"u10",7,4
12,"u10",12,23
12,"u10",17,24
12,"u10",22,101
12,"u10",27,172
12,"u10",32,195
12,"u10",37,225
12,"u10",42,749
12,"u10",47,321
12,"u10",52,294
13,"u1",7,1
13,"u1",12,5
13,"u1",17,17
13,"u1",22,25
13,"u1",27,85
13,"u1",32,162
13,"u1",37,361
13,"u1",42,269
13,"u1",47,202
13,"u1",52,57
13,"u2",7,4
13,"u2",12,22
13,"u2",17,121
13,"u2",22,92
13,"u2",27,51
13,"u2",32,210
13,"u2",37,322
13,"u2",42,1006
13,"u2",47,281
13,"u2",52,125
13,"u3",7,0
13,"u3",12,16
13,"u3",17,38
13,"u3",22,96
13,"u3",27,489
13,"u3",32,242
13,"u3",37,87
13,"u3",42,164
13,"u3",47,111
13,"u3",52,126
13,"u4",7,4
13,"u4",12,31
13,"u4",17,130
13,"u4",22,250
13,"u4",27,211
13,"u4",32,150
13,"u4",37,78
13,"u4",42,10
13,"u4",47,11
13,"u4",52,75
13,"u5",7,4
13,"u5",12,11
13,"u5",17,52
13,"u5",22,107
13,"u5",27,206
13,"u5",32,258
13,"u5",37,136
13,"u5",42,29
13,"u5",47,44
13,"u5",52,58
13,"u6",7,1
13,"u6",12,14
13,"u6",17,38
13,"u6",22,59
13,"u6",27,121
13,"u6",32,146
13,"u6",37,165
