"b","unit","day","dentadult","dentinf","lumadult","luminf"
6,"u7",37,4,1,2,22
6,"u7",42,19,1,1,8
6,"u7",47,7,2,3,0
6,"u7",52,4,0,2,0
6,"u8",7,6,0,1,0
6,"u8",12,8,0,0,0
6,"u8",17,5,0,2,0
6,"u8",22,27,1,17,1
6,"u8",27,46,4,16,13
6,"u8",32,24,1,17,27
6,"u8",37,3,2,7,1
6,"u8",42,2,0,9,3
6,"u8",47,2,1,7,7
6,"u8",52,0,0,0,1
7,"u1",7,11,0,0,0
7,"u1",12,12,0,3,0
7,"u1",17,29,0,11,0
7,"u1",22,30,4,20,0
7,"u1",27,137,6,13,3
7,"u1",32,106,19,77,6
7,"u1",37,74,6,28,11
7,"u1",42,12,7,3,0
7,"u1",47,35,3,20,0
7,"u1",52,17,0,9,4
7,"u2",7,1,0,6,0
7,"u2",12,5,0,5,0
7,"u2",17,33,0,6,0
7,"u2",22,53,0,35,0
7,"u2",27,136,3,37,0
7,"u2",32,187,25,18,11
7,"u2",37,99,14,11,0
7,"u2",42,63,24,10,7
7,"u2",47,59,19,5,6
7,"u2",52,34,21,1,3
7,"u3",7,7,0,2,0
7,"u3",12,8,0,8,1
7,"u3",17,8,1,10,1
7,"u3",22,53,2,25,1
7,"u3",27,88,3,8,3
7,"u3",32,56,42,7,9
7,"u3",37,49,8,6,3
7,"u3",42,22,4,1,3
7,"u3",47,9,4,7,2
7,"u3",52,2,4,1,1
7,"u4",7,6,0,1,0
7,"u4",12,24,0,3,0
7,"u4",17,10,0,8,0
7,"u4",22,11,0,22,0
7,"u4",27,19,2,15,2
7,"u4",32,57,1,12,2
7,"u4",37,81,16,17,3
7,"u4",42,22,3,11,10
7,"u4",47,39,6,5,4
7,"u4",52,9,12,2,0
7,"u5",7,14,0,0,0
7,"u5",12,13,0,0,0
7,"u5",17,29,4,3,0
7,"u5",22,31,0,20,1
7,"u5",27,26,24,31,8
7,"u5",32,33,33,3,6
7,"u5",37,81,45,7,1
7,"u5",42,80,13,1,2
7,"u5",47,67,6,2,1
7,"u5",52,10,0,0,0
7,"u6",7,14,0,1,0
7,"u6",12,6,0,5,0
7,"u6",17,14,0,12,0
7,"u6",22,26,0,62,0
7,"u6",27,48,3,132,1
7,"u6",32,8,23,32,20
7,"u6",37,0,2,1,7
7,"u6",42,0,1,1,2
7,"u6",47,0,2,1,3
7,"u6",52,0,0,0,0
7,"u7",7,4,0,2,0
7,"u7",12,5,0,2,0
7,"u7",17,57,0,15,1
7,"u7",22,20,0,13,0
7,"u7",27,39,17,8,10
7,"u7",32,14,6,6,10
7,"u7",37,7,1,0,1
7,"u7",42,7,0,2,0
7,"u7",47,2,0,0,1
7,"u7",52,1,0,0,0
7,"u8",7,5,0,0,0
7,"u8",12,3,0,11,0
7,"u8",17,49,0,41,1
7,"u8",22,174,3,263,12
7,"u8",27,82,28,25,7
7,"u8",32,4,2,4,13
7,"u8",37,9,8,0,11
7,"u8",42,7,0,0,1
7,"u8",47,10,6,0,0
7,"u8",52,3,3,0,0
8,"u1",7,7,0,1,0
8,"u1",12,8,0,4,0
8,"u1",17,26,0,5,0
8,"u1",22,65,0,25,0
8,"u1",27,42,0,46,0
8,"u1",32,99,1,43,2
8,"u1",37,40,7,53,26
8,"u1",42,82,55,23,30
8,"u1",47,14,0,18,3
8,"u1",52,14,47,12,6
8,"u2",7,0,1,1,0
8,"u2",12,10,0,4,0
8,"u2",17,19,0,8,0
8,"u2",22,41,11,26,2
8,"u2",27,83,3,71,8
8,"u2",32,54,15,16,73
8,"u2",37,39,36,32,20
8,"u2",42,3,7,15,14
8,"u2",47,14,4,7,0
8,"u2",52,6,6,3,1
8,"u3",7,4,0,4,0
8,"u3",12,15,0,15,0
8,"u3",17,82,6,81,9
8,"u3",22,165,8,57,11
8,"u3",27,46,23,18,2
8,"u3",32,62,2,9,1
8,"u3",37,8,4,10,2
8,"u3",42,7,3,3,2
8,"u3",47,7,2,2,0
8,"u3",52,5,2,2,1
8,"u4",7,14,0,1,0
8,"u4",12,11,0,7,0
8,"u4",17,45,0,17,2
8,"u4",22,24,0,17,4
8,"u4",27,50,11,22,1
8,"u4",32,60,3,31,5
8,"u4",37,31,12,11,1
8,"u4",42,3,13,6,8
8,"u4",47,2,8,12,3
8,"u4",52,0,0,1,0
8,"u5",7,3,0,1,0
8,"u5",12,7,0,2,0
8,"u5",17,31,1,3,0
8,"u5",22,56,0,12,0
8,"u5",27,43,0,37,0
8,"u5",32,105,6,33,0
8,"u5",37,94,13,18,0
8,"u5",42,27,7,3,12
8,"u5",47,37,13,8,9
8,"u5",52,15,5,4,0
8,"u6",7,6,0,3,0
8,"u6",12,5,0,1,0
8,"u6",17,29,0,13,0
8,"u6",22,57,1,31,11
8,"u6",27,16,4,8,6
8,"u6",32,9,0,3,3
8,"u6",37,1,1,5,14
8,"u6",42,1,0,11,9
8,"u6",47,1,0,4,51
8,"u6",52,0,0,2,15
8,"u7",7,8,0,2,0
8,"u7",12,5,0,1,0
8,"u7",17,8,0,1,0
8,"u7",22,13,0,1,0
8,"u7",27,19,0,5,0
8,"u7",32,128,2,24,5
8,"u7",37,17,0,15,5
8,"u7",42,66,6,19,17
8,"u7",47,98,35,3,7
8,"u7",52,17,56,2,14
