"b","unit","day","lumadult"
11,"u4",7,0
11,"u4",12,1
11,"u4",17,48
11,"u4",22,108
11,"u4",27,274
11,"u4",32,323
11,"u4",37,56
11,"u4",42,37
11,"u4",47,9
11,"u4",52,15
11,"u5",7,1
11,"u5",12,5
11,"u5",17,51
11,"u5",22,2
11,"u5",27,30
11,"u5",32,17
11,"u5",37,8
11,"u5",42,2
11,"u5",47,13
11,"u5",52,58
11,"u6",7,1
11,"u6",12,4
11,"u6",17,33
11,"u6",22,31
11,"u6",27,69
11,"u6",32,119
11,"u6",37,76
11,"u6",42,7
11,"u6",47,13
11,"u6",52,9
11,"u7",7,0
11,"u7",12,10
11,"u7",17,12
11,"u7",22,12
11,"u7",27,5
11,"u7",32,6
11,"u7",37,27
11,"u7",42,11
11,"u7",47,1
11,"u7",52,35
11,"u8",7,7
11,"u8",12,6
11,"u8",17,37
11,"u8",22,71
11,"u8",27,28
11,"u8",32,45
11,"u8",37,59
11,"u8",42,112
11,"u8",47,63
11,"u8",52,70
11,"u9",7,4
11,"u9",12,4
11,"u9",17,31
11,"u9",22,7
11,"u9",27,155
11,"u9",32,8
11,"u9",37,40
11,"u9",42,107
11,"u9",47,132
11,"u9",52,43
11,"u10",7,2
11,"u10",12,6
11,"u10",17,8
11,"u10",22,28
11,"u10",27,25
11,"u10",32,19
11,"u10",37,15
11,"u10",42,77
11,"u10",47,62
11,"u10",52,10
12,"u1",7,1
12,"u1",12,0
12,"u1",17,4
12,"u1",22,13
12,"u1",27,18
12,"u1",32,74
12,"u1",37,90
12,"u1",42,41
12,"u1",47,17
12,"u1",52,38
12,"u2",7,10
12,"u2",12,4
12,"u2",17,12
12,"u2",22,16
12,"u2",27,56
12,"u2",32,25
12,"u2",37,29
12,"u2",42,56
12,"u2",47,19
12,"u2",52,49
12,"u3",7,1
12,"u3",12,2
12,"u3",17,21
12,"u3",22,24
12,"u3",27,62
12,"u3",32,52
12,"u3",37,72
12,"u3",42,44
12,"u3",47,12
12,"u3",52,12
12,"u4",7,3
12,"u4",12,8
12,"u4",17,26
12,"u4",22,4
12,"u4",27,141
12,"u4",32,66
12,"u4",37,102
12,"u4",42,66
12,"u4",47,171
12,"u4",52,79
12,"u5",7,3
12,"u5",12,20
12,"u5",17,25
12,"u5",22,79
12,"u5",27,23
12,"u5",32,6
12,"u5",37,98
12,"u5",42,82
12,"u5",47,29
12,"u5",52,27
12,"u6",7,5
12,"u6",12,2
12,"u6",17,6
12,"u6",22,23
12,"u6",27,22
12,"u6",32,17
12,"u6",37,23
12,"u6",42,48
12,"u6",47,40
12,"u6",52,114
12,"u7",7,7
12,"u7",12,2
12,"u7",17,26
12,"u7",22,51
12,"u7",27,177
12,"u7",32,32
12,"u7",37,12
12,"u7",42,1
12,"u7",47,2
12,"u7",52,13
12,"u8",7,4
12,"u8",12,1
12,"u8",17,0
12,"u8",22,0
12,"u8",27,0
12,"u8",32,8
12,"u8",37,21
12,"u8",42,6
12,"u8",47,205
12,"u8",52,39
12,"u9",7,0
12,"u9",12,4
12,"u9",17,44
12,"u9",22,42
12,"u9",27,147
12,"u9",32,152
12,"u9",37,18
12,"u9",42,21
12,"u9",47,8
12,"u9",52,37
12,"u10",7,4
12,"u10",12,22
12,"u10",17,27
12,"u10",22,143
12,"u10",27,43
12,"u10",32,17
12,"u10",37,7
12,"u10",42,40
12,"u10",47,30
12,"u10",52,34
13,"u1",7,5
13,"u1",12,2
13,"u1",17,6
13,"u1",22,5
13,"u1",27,25
13,"u1",32,80
13,"u1",37,53
13,"u1",42,109
13,"u1",47,52
13,"u1",52,44
13,"u2",7,1
13,"u2",12,16
13,"u2",17,60
13,"u2",22,47
13,"u2",27,105
13,"u2",32,21
13,"u2",37,11
13,"u2",42,29
13,"u2",47,4
13,"u2",52,6
13,"u3",7,5
13,"u3",12,8
13,"u3",17,50
13,"u3",22,40
13,"u3",27,39
13,"u3",32,25
13,"u3",37,91
13,"u3",42,70
13,"u3",47,74
13,"u3",52,9
13,"u4",7,1
13,"u4",12,3
13,"u4",17,8
13,"u4",22,9
13,"u4",27,22
13,"u4",32,20
13,"u4",37,88
13,"u4",42,233
13,"u4",47,154
13,"u4",52,11
13,"u5",7,1
13,"u5",12,7
13,"u5",17,31
13,"u5",22,74
13,"u5",27,68
13,"u5",32,3
13,"u5",37,34
13,"u5",42,127
13,"u5",47,11
13,"u5",52,18
13,"u6",7,3
13,"u6",12,0
13,"u6",17,23
13,"u6",22,22
13,"u6",27,52
13,"u6",32,76
13,"u6",37,113
13,"u6",42,44
13,"u6",47,61
13,"u6",52,4
13,"u7",7,6
13,"u7",12,12
13,"u7",17,12
13,"u7",22,38
13,"u7",27,101
13,"u7",32,138
13,"u7",37,20
13,"u7",42,74
13,"u7",47,46
13,"u7",52,46
13,"u8",7,2
13,"u8",12,11
13,"u8",17,8
13,"u8",22,14
13,"u8",27,48
13,"u8",32,28
13,"u8",37,130
13,"u8",42,63
13,"u8",47,90
13,"u8",52,144
13,"u9",7,0
13,"u9",12,0
13,"u9",17,6
13,"u9",22,14
13,"u9",27,91
13,"u9",32,141
13,"u9",37,53
13,"u9",42,51
13,"u9",47,11
13,"u9",52,6
13,"u10",7,2
13,"u10",12,3
13,"u10",17,42
13,"u10",22,2
13,"u10",27,32
13,"u10",32,35
13,"u10",37,70
13,"u10",42,166
13,"u10",47,46
13,"u10",52,47
14,"u1",7,1
14,"u1",12,4
14,"u1",17,5
14,"u1",22,48
14,"u1",27,11
14,"u1",32,81
14,"u1",37,139
14,"u1",42,94
14,"u1",47,29
14,"u1",52,45
14,"u2",7,4
14,"u2",12,10
14,"u2",17,19
14,"u2",22,75
14,"u2",27,104
14,"u2",32,107
14,"u2",37,176
14,"u2",42,82
14,"u2",47,24
14,"u2",52,2
14,"u3",7,1
14,"u3",12,28
14,"u3",17,22
14,"u3",22,51
14,"u3",27,30
14,"u3",32,8
14,"u3",37,11
14,"u3",42,8
14,"u3",47,2
14,"u3",52,3
14,"u4",7,5
14,"u4",12,27
14,"u4",17,11
14,"u4",22,11
14,"u4",27,27
14,"u4",32,2
14,"u4",37,14
14,"u4",42,49
14,"u4",47,14
14,"u4",52,34
14,"u5",7,14
14,"u5",12,10
14,"u5",17,7
14,"u5",22,9
14,"u5",27,60
14,"u5",32,28
14,"u5",37,24
14,"u5",42,22
14,"u5",47,4
14,"u5",52,5
14,"u6",7,0
14,"u6",12,0
14,"u6",17,11
14,"u6",22,13
14,"u6",27,93
14,"u6",32,29
14,"u6",37,4
14,"u6",42,51
14,"u6",47,104
14,"u6",52,24
14,"u7",7,4
14,"u7",12,0
14,"u7",17,14
14,"u7",22,6
14,"u7",27,26
14,"u7",32,1
14,"u7",37,21
14,"u7",42,135
14,"u7",47,3
14,"u7",52,5
14,"u8",7,6
14,"u8",12,7
14,"u8",17,22
14,"u8",22,28
14,"u8",27,27
14,"u8",32,44
14,"u8",37,53
14,"u8",42,7
14,"u8",47,14
14,"u8",52,70
14,"u9",7,4
14,"u9",12,15
14,"u9",17,22
14,"u9",22,15
14,"u9",27,39
14,"u9",32,27
14,"u9",37,109
14,"u9",42,27
14,"u9",47,96
14,"u9",52,21
14,"u10",7,2
14,"u10",12,33
